,smiles,probs
55,N(C(NCC(C)=O)=O)(NC(OCC1=CC=CC=C1)=O)C(C)C,0.99957246
56,N(C(NC1=C(O)C(C#N)=CC=C1)=O)C2=C(OC)C=CC=C2,0.9999968
57,[C@H]([C@@H]([C@H]([C@@H](OCC1=CC=CC=C1)COCC2=C(F)C=CC=C2)O)O)(OCC3=CC=CC=C3)COCC4=C(F)C=CC=C4,1.0
58,O=C1C(C=2NC3=C(S(=O)(=O)N2)C(CNS(NC(OCC4=CC=CC=C4)=O)(=O)=O)=CS3)=C(O)C=5C([C@]1(CCC(C)(C)C)C)=CC=CC5,1.0
59,FC1=C(N2[C@H]3C[C@@H](C2)N(C)C3)C=CC(NC=4N=C(C=CN4)C=5C=NC(=CN5)N6CC(C)CCC6)=C1,0.9999987
60,C(C(C(C(CC1=CC=CC=C1)NC(C(NC(CC2=CC=CC=N2)=O)C(CC)C)=O)O)O)(CC3=CC=CC=C3)NC(C(NC(CC4=CC=CC=N4)=O)C(CC)C)=O,0.99983
61,C(CN1CC=2C(CC1)=CC=CC2)(=O)N3[C@H](C#N)CCC3,0.99993896
62,[C@H]([C@@H]([C@H]([C@@H](OCC1=CC=CC=C1)COCC2=CC=C(Br)C=C2)O)O)(OCC3=CC=CC=C3)COCC4=CC=C(Br)C=C4,0.99992573
63,N(CC=1C=CC=NC1)C2=CC(CC)=C(C)NC2=O,1.0
64,C(=C(C(OCC)=O)C)(C1=CC=CC=C1)C2=CC=CC=C2,0.9999993
65,[C@H](NC(=O)C1=C(C)C=CC=C1)(C)C2=CC3=C(C=C2)C=CC=C3,0.99985456
66,C(N1C(C(CCC)(F)F)=NC(CCCC)=N1)C2=CC=C(C=C2)C3=C(C=CC=C3)C=4NN=NN4,1.0
67,O=C1C(C=2NC=3C(S(=O)(=O)N2)=CC=CC3)=C(O)C4=C(N1CC5=CC(Br)=CC=C5)CCCC4,1.0
68,O(CCCOC)C1=C(OC)C=CC(C[C@@H](C[C@@H]([C@H](C[C@H](C(N[C@H]2CCCOC2)=O)C(C)C)O)N)C(C)C)=C1,0.9999716
69,C(N1C(=C(CC)N=C1CCC)C=2NN=NN2)C3=CC=C(C=C3)C4=C(CN(C(OC5=CC=CC=C5)=O)CC4)C=6NN=NN6,1.0
70,C(CCOC)C=1C=2C(NC1)=CC=C(C[C@@H](C[C@@H]([C@H](CNC(C(C)(C)C3=CC=C(F)C=C3)=O)O)N)C(C)C)N2,1.0
71,CC1=C(N2[C@H]3C[C@@H](C2)N(C)C3)C=CC(NC=4N=C(C=CN4)C5=CC=C(C=C5)C=6OC(=CN6)C7=CC=C(N(C)C)C=C7)=C1,0.9999999
72,C(CC1=CC=CC=C1)C2CN(C#N)CCC2,1.0
73,C(F)(F)(F)C=1C=C2N(C=NC2=CC1)C=3N=C(N[C@H](C(NCCCOC)=O)CC(C)C)C=C(CCCC)N3,0.99999976
74,C(CCC(CCCC1=CC=CC=C1)O)C2=CC=CC=C2,0.9999342
75,OC=1C=C(C=CC1NC(NC2=C(Br)C=CC=C2)=O)C3=CC=CC=C3,1.0
76,CC1=C(N2[C@H]3C[C@@H](C2)N(CC(F)(F)F)C3)C=CC(NC=4N=C(C=CN4)C=5C=C6C(=NC5)NC=C6)=C1,1.0
77,S(CC1=C(OC)C=CC(C)=C1)(=O)(=O)C=2N(=O)=CC=CC2,0.99998367
78,[C@H](C(=O)N1CCCCC1)(NC2CCNCC2)CCN,0.9995715
79,C(CC(C[C@@H]([C@H](CNC([C@@](OC)(C)C1CCCCC1)=O)O)N)(C)C)(=O)N2C=3C(CC(NC(OC)=O)C2)=CC=CC3,0.99990857
80,C(CCOC)C=1C=2C(N(C)C1C)=CC=C(C[C@@H](C[C@@H]([C@H](C[C@H](C(NCCC)=O)C(C)C)O)N)C(C)C)C2,0.99999976
81,C(O)(=O)C=1NC=2C(C1)=CC(F)=CC2,0.9997713
82,C(OC(=O)C1=CC=CC=C1)C2=C(F)C=CC=C2,0.999653
83,C([C@H](CCNC1=CC=CC=C1)N)(=O)N2CCCCC2,1.0
84,O=C1C(=C(O)C=2C(C1(CCC3CC3)C)=CC=CC2)C=4NC=5C(S(=O)(=O)N4)=CC(NC(C(F)(F)F)=O)=CC5,0.9999969
85,C([C@@H](NC([C@@H](NC([C@@H](NC([C@H](CC(O)=O)NC(C)=O)=O)C)=O)[C@H](CC)C)=O)C(C)C)(=O)N1[C@H](C(N[C@H](C(O)=O)CS)=O)CCC1,1.0
86,C(C(CN)N)(=O)N1CCCCC1,0.99959344
87,C([C@H](NC(=O)[C@H]1N(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)[C@H]2N(C([C@@H](NC([C@@H](NC([C@H](CC3=CN=CN3)NC([C@@H](NC([C@H](CCCNC(=N)N)N)=O)CC(C)C)=O)=O)CS)=O)CCCCN)=O)CCC2)CCC(N)=O)=O)CCCNC(=N)N)=O)CCC(N)=O)=O)CO)=O)CCC1)C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H](CC4=CN=CN4)C(N[C@@H](CC(C)C)C(O)=O)=O)=O)CCC(N)=O)=O)CS)=O)CCCCN)=O)CCSC)=O)C=5C=6C(NC5)=CC=CC6,1.0
88,C(NC1=C(S(C)(=O)=O)C=CC(C(F)(F)F)=C1)(=O)C2=C(C=3C(N2CC=4C=C(N)N=CC4)=CC=C(Cl)C3)C=5C(=O)NC=CC5,0.9998054
89,C([C@H](CCCCNC1=CC2=C(C=C1)C=CC=C2)N)(=O)N3CC=4C(C3)=CC=CC4,1.0
90,C(CC1=CC=CC=C1)(NC(=O)C2=CC(F)=CC=C2)P(CC(N[C@@H](CC=3C=CN=CC3)C(N[C@@H](CC4=CC=CC=C4)C(N)=O)=O)=O)(=O)O,0.99996984
91,O(CCCOC)C1=C(CC)C=CC(C[C@@H](C[C@@H]([C@H](C[C@H](C(NC2CCOCC2)=O)C(C)C)O)N)C(C)C)=C1,0.9998393
92,N(CC1=CC=CC=C1)(C)C=2C3=C(C(N(=O)=O)=CC2)C=CC=N3,1.0
93,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@@H](CC(NCC4=CC=CC=C4)=O)NC3)C5=CC=C(OC)C=C5,0.99996066
94,N([C@H](C(NCCCOCC)=O)CC(C)C)C1=NC(N2C=C(N=C2)C3=CC(OC)=CC=C3)=NC(CCC)=C1,0.9999987
95,C(CC)C1(CCC)C=2C(C(O)=C(C1=O)C=3NC=4C(S(=O)(=O)N3)=CC(NS(CC(F)(F)F)(=O)=O)=CC4)=CC=CC2,0.99914134
96,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H]([C@H](OC[C@@H](COC)O)CNC3)C4=CC=C(OCCCOC)C=C4,1.0
97,[C@H](CC1=CN=CN1)([C@H]([C@@H]([C@H](C(NC[C@H](CC)C)=O)C(C)C)O)O)NC(COC2=CC=CC=C2)=O,1.0
98,[C@@H](CC1=CC=C(F)C=C1)(NC([C@@H](NC([C@@H](NC([C@H](COC([C@H](CC(C)C)NC(C)=O)=O)N)=O)C(C)C)=O)CC(C)C)=O)C(N(CC)CC)=O,0.99942267
